Incidente_Tipo;Incidente_ID;FECHA;Incidente_Hora;Incidente_Título;Incidente_Desc;Incidente_Severidad_Real;Incidente_Severidad_Potencial;Incidente_Relación_Laboral;Incidente_Registrabilidad_Desc;Investigación_Obligatoria;Activo_Empresa_Contratista;Vehiculo_Desc;Incidente_UT;Activo_Ubicación_Técnica;Incidente_Lugar;Activo_Descripción;Activo_Patente;Activo_Modelo;Activo_Marca;Activo_ID;Activo_Area;DESC_CLASE_DE_DAÑO_VEHICULAR;INCIDENTE_CONSECUENCIA_POTENCIAL;INCIDENTE_PRECURSOR;Incidente_ReglaOro;SEGMENTO;UBIC_TECNICA_NIVEL1;UBIC_TECNICA_NIVEL2;UBIC_TECNICA_NIVEL3;Función;Gerencia;SECTOR;SUBSECTOR;Incidente_ZZLATITUD_GMS_GRAD;Incidente_ZZLATITUD_GMS_MIN;Incidente_ZZLATITUD_GMS_SEG;Incidente_ZZLONGITUD_GMS_GRAD;Incidente_ZZLONGITUD_GMS_MIN;Incidente_ZZLONGITUD_GMS_SEG;Persona_Responsable;Persona_Rol
VEHICULAR;7018;11/09/2019;20:05:00;2019-09-11-GOP II-CVM EX-Rotura de vidrio lateral izquierdo int. 780-PETROSAR;El operario en momentos que se dirigía en su vehículo a cargo al campamento de PAE Vhso. antes de ingresar al estacionamiento cruza con un camión que circula en sentido contrario, eleva un objeto que impacta en el vidrio de la ventanilla del conductor de Petrosar, provocando  la rotura del mismo y ocasionando una molestia en el ojo izquierdo.;6;6;X;3: Excepción;;PETROSAR PRODUCCION Y SERVICIOS SA;;;;Camino principal a campamento PAE Vhso.;Vehiculo int. 780; ; ; ; ;;Rotura;; ; ;;;;;PRODUCCIÓN & MANTENIMIENTO;GSJ-OPERACIONES;OPERACIONES II;OP II D.02;0;0;0;0;0;0;;
VEHICULAR;S6914;42790;13:20;Colision con animal;Transitando por RN 26/KM 78 ,en dirección Cerro Dragón el vehíulo liviano colisionando con un guanaco en la parte frontal izquierda.;5;4;X;1: Registrable;;;;;;Ruta 26 - KM 78;;;;;;;;;;;Upstream;Golfo San Jorge;2;VALLE HERMOSO;CONSTRUCCIÓN;GSJ-PROYECTOS;INSTALACIONES DE ENERGIA;ENERGIA;;;;;;;;
INSTALACIONES;167706;20/06/2022;03:00:00;corte de punto debil;"el dia 21/06/2022, 07:25 DLS 331  se informa corte de punto debil sacando la 1 carrera de punzado wireline con el guinche parado suite neutro al levantar el aparejo se produce el cortedel punto debil el canon estaba a 3 metros de la boca de pozo la xarrera ya detonada quedo en el fondo del pozo sin personal afectado, nota no se rea;iza peritaje debido a que no se activo el rol de emergencias en tiempo y forma esto fue el 20/06/22 a las 23:00 hs";;;;;;;;;;00000000000000000000000000000000;;;;;;;;; ; ;;;;;Sin Asignar; ;; ;0;0;0;0;0;0;;
INSTALACIONES;111353;17/08/2021;10:10:00;Daño en guardaganado_ Tres picos;Conductor de Pumping unit a bordo de unidad liviana 2441 (sin acompañante) se dirigía hacia deposito del Distrito 3, en cierto momento al cruzar sobre guardaganados impacta el lateral derecho del vehiculo contra soporte del mismo.;;;;;;;;;;Guardaganado, camino interno al deposito del Distrito 3 en Tres picos;;;;;;;;; ; ;;;;;Sin Asignar;GSJ-SOPORTE A LA PRODUCCIÓN;MANTENIMIENTO;MANTENIMIENTO MECÁNICO;0;0;0;0;0;0;;
VEHICULAR;144427;23/02/2022;21:45:00;LIN 2022-02-23-Almacenes-CVM Ex-Camion con semirremolque atascado-Don Pedro;Un camión con semirremolque cargado con caños camisa para el Equipo PAE001, mientras esperaba a un lado del Puesto de Control para la actualización de documentación en el Sistema y poder ingresar al Yacimiento, quedó enterrado en el barro.;6;6;X;3: Excepción;;EMPRESA DE TRANSPORTES DON PED;;LINDERO ATRAVESADO OCCIDENTAL;;Camino del Perilago (Puesto de Control);Camión (Int. 851);MGA221;STRALIS;IVECO; ;;;;Falta de observación durante la tarea;Seguridad vehicular;Upstream;Neuquen;1;LOC;OTROS;NQN-PSC;SUPPLY CHAIN;ALMACENES;0;0;0;0;0;0;;
VEHICULAR;144427;23/02/2022;21:45:00;LIN 2022-02-23-Almacenes-CVM Ex-Camion con semirremolque atascado-Don Pedro;Un camión con semirremolque cargado con caños camisa para el Equipo PAE001, mientras esperaba a un lado del Puesto de Control para la actualización de documentación en el Sistema y poder ingresar al Yacimiento, quedó enterrado en el barro.;6;6;X;3: Excepción;;EMPRESA DE TRANSPORTES DON PED;;LINDERO ATRAVESADO OCCIDENTAL;;Camino del Perilago (Puesto de Control);Semirremolque (Int. 1037);NLK621;SRBV;SALTO; ;;;;Falta de observación durante la tarea;Seguridad vehicular;Upstream;Neuquen;1;LOC;OTROS;NQN-PSC;SUPPLY CHAIN;ALMACENES;0;0;0;0;0;0;;
INSTALACIONES;2785;31/07/2018;05:00:00;Perdida de gas por fisura en cañería;Operador en recorrida detecta fuga de gas en unión soldada de caño de 6” con maso de tubo de refrigeración del equipo MC-10 en el Punto B, se procede a parar el equipo, aislarlo y eliminar la fuga. No se registran lesiones personales ni daños materiales;5;5;X;1: Registrable;;;;LINDERO ATRAVESADO OCCIDENTAL;;Punto B - Equipo MC-10;;;;;;;;; ;Aislamiento de energías;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-OPERACIONES;PLANTAS DE TRATAMIENTO DE GAS / COMPRESORAS;NO APLICA;0;0;0;0;0;0;;
INSTALACIONES;2746;25/07/2018;17:25:00;Falla en lazo de control;"Por falla en lazo de control de temperatura de la resistencia que calienta el aceite, este levanto temperatura fuera del rango normal quemando calcomanía que tenía en la carcasa. Se dejó solo operativa la bomba y la resistencia fuera de servicio hasta normalizar lazo de control y poder seguir trabajando con las pruebas de funcionamiento del equipo. No se registran lesiones personales ni daños a equipos.";6;5;X;1: Registrable;;;;LINDERO ATRAVESADO OCCIDENTAL;;Punto B MC17;;;;;;;;; ; ;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-OPERACIONES;PLANTAS DE TRATAMIENTO DE GAS / COMPRESORAS;NO APLICA;0;0;0;0;0;0;;
INSTALACIONES;437;09/09/2017;00:30:00;Fuga de gas por cuerpo de válvula reguladora;En recorrida de pozos operador de turno observa perdida de gas en armadura de pozo LA 73, detecta que la perdida se encuentra en el cuerpo de válvula reguladora, de inmediato procede a cerrar válvula lateral manual asegurando la instalación y  conteniendo la perdida. El pozo tiene instalado capilar.;5;4;X;;; ;;LINDERO ATRAVESADO OCCIDENTAL;;Pozo LA-73;POZO LA-73;;;;?0100000000000011694;Lindero Atravesado;;; ;Aislamiento de energías;Upstream;Neuquen;1;LOC;PRODUCCIÓN & MANTENIMIENTO;NQN-LA-D;; ;0;0;0;0;0;0;;
VEHICULAR;172726;28/07/2022;19:40:00;LIN 2022-07-28-Facilities-CVM08NR-Golpe barrera del Puesto de Control Occi.-PLP;Alrededor de las 16:40 hs personal de PLP se retiraba del Yacimiento Lindero Occidental en el vehículo Ford Ranger dominio AE855GU, el conductor al pasar por el Puesto de Control  procedió a marcar con su tarjeta y la de sus compañeros (tres operarios mas), al observar luz verde  el conductor avanzo pero no detectó que la barrera aún no se había levantado, producto de ellos el vehículo impacta contra la barrera. No se registraron daños personales;6;6;X;2: No Registrable;;PLP SERVICIOS SRL;;LINDERO ATRAVESADO OCCIDENTAL;;PUESTO DE CONTROL DE LINDERO ATRAVESADO OCCIDENTAL;Camioneta Ford Ranger 4x4;AE 855 GU; ; ; ;;;DAÑOS A INSTALACIÓN;Falta de observación durante la tarea;Seguridad vehicular;Upstream;Neuquen;1;LOC;CONSTRUCCIÓN;NQN-OBRAS & CONSTRUCCIONES;OBRAS & CONSTRUCCIONES;NO APLICA;0;0;0;0;0;0;;
